Oe  K   emu
0.57236	5.01038	0.01155
102.5954	4.99896	0.06518
203.6168	4.99887	0.11754
304.9243	4.99784	0.15086
404.8011	4.99752	0.17207
505.2501	4.99969	0.18717
755.2281	5.00813	0.21192
1006.78	4.99953	0.22712
1258.332	4.99569	0.23739
1510.599	4.99619	0.2448
1760.148	4.99568	0.25045
2011.271	4.99595	0.25495
2263.538	4.99555	0.25865
2514.66	4.9974	0.26169
2765.926	4.99657	0.26428
3015.761	4.99648	0.26644
3267.599	4.99664	0.26835
3519.007	4.99718	0.26994
3769.558	4.99688	0.27136
4021.826	4.99754	0.27256
4271.66	4.99701	0.2736
4522.783	4.99727	0.27452
4773.762	4.99791	0.27528
5025.6	4.99578	0.27597
7533.964	5.01135	0.28019
10042.33	5.00566	0.28249
12551.55	5.00324	0.28404
15061.06	5.00344	0.28533
17570	5.00185	0.28637
20079.08	5.00178	0.28732
22587.44	5.00059	0.28817
25097.96	5.00005	0.28896
27604.16	5.00211	0.28966
30113.26	5.00115	0.2904
32624.47	5.00055	0.29105
35134.98	5.00071	0.29169
37644.78	5.00161	0.29229
40155.3	5.00077	0.29285
42665.09	5.0015	0.29338
45174.88	5.00341	0.2939
47687.54	5.00331	0.29442
50198.76	5.00188	0.29491
52708.55	5.00075	0.29536
55219.79	5.00075	0.2958
57729.57	5.00207	0.29624
60239.38	5.00194	0.29662
62750.61	5.00254	0.29704
65261.84	5.00161	0.29743
67773.05	5.00089	0.29784
70284.28	5.00148	0.29822
1.00163	10.00058	0.00937
102.4523	9.99805	0.06126
203.6168	9.99028	0.11591
304.4951	9.99359	0.14872
404.6579	9.99652	0.16988
505.3931	9.99709	0.18545
754.7988	10.00393	0.21072
1006.78	9.99437	0.2263
1258.332	9.99377	0.23675
1509.454	9.9969	0.24431
1759.146	9.99769	0.25007
2010.841	9.99866	0.25463
2262.822	9.99652	0.25834
2514.088	10.00004	0.26143
2766.069	9.99652	0.26402
3015.475	9.99749	0.26623
3266.74	9.99769	0.2681
3518.865	9.99576	0.26974
3769.272	9.99826	0.27112
4021.396	9.99829	0.27234
4271.517	9.98969	0.27337
4522.353	9.99652	0.27425
4773.619	9.99612	0.27503
5024.885	9.99807	0.27572
7534.394	10.00315	0.27988
10041.18	10.00023	0.28209
12551.84	10.00003	0.28362
15060.21	9.99902	0.28481
17570	10.0022	0.28581
20079.79	10.00452	0.28668
22587.44	10.00257	0.28749
25097.96	9.99964	0.28821
27604.16	9.99767	0.28887
30113.96	9.99807	0.28954
32624.47	10.00062	0.29013
35134.28	10.00003	0.29071
37644.78	9.99729	0.29127
40154.57	9.99865	0.29179
42666.52	10.00021	0.29231
45174.88	9.99904	0.29281
47687.54	10.00001	0.29329
50198.76	9.99923	0.29373
52708.55	9.99982	0.29417
55218.35	9.99864	0.2946
57729.57	9.99806	0.29501
60239.38	10.00587	0.29539
62750.61	10.00272	0.29578
65263.26	10.00176	0.2961
67771.63	9.99883	0.29653
70284.28	10.00195	0.29695
0.85854	15.005	0.00903
102.5954	14.99929	0.0618
203.3306	14.99977	0.11549
304.0658	14.99906	0.14853
404.5149	15.00001	0.16969
505.3932	14.99858	0.18525
755.085	15.00334	0.2105
1007.066	14.99977	0.22617
1258.189	14.99715	0.23665
1509.74	14.99763	0.24422
1759.861	14.99739	0.24996
2010.841	14.99763	0.25449
2262.823	14.99811	0.25822
2514.374	14.9993	0.2613
2765.353	14.99858	0.26386
3016.333	15.00001	0.26605
3267.313	15.00525	0.26792
3519.293	15.00191	0.26953
3770.416	15.00191	0.2709
4021.539	15.00001	0.27209
4271.517	14.99905	0.27309
4522.354	14.9993	0.27397
4773.19	14.99811	0.27473
5024.741	14.99953	0.27541
7533.965	15.00286	0.2795
10041.47	15.00025	0.28167
12551.84	14.99953	0.28315
15059.92	15.00001	0.2843
17570	15.00025	0.28529
20079.08	14.99763	0.28613
22586.72	15.00072	0.28688
25097.96	15.00764	0.28757
27604.16	15.00358	0.28823
30113.26	15.00382	0.28885
32624.47	15.00097	0.28943
35134.28	15.00001	0.28998
37644.07	14.99953	0.29048
40154.57	15.00167	0.29098
42666.52	14.99977	0.29148
45176.31	15.00072	0.29195
47688.97	14.99572	0.29237
50197.33	14.99668	0.29282
52708.55	14.9993	0.29324
55219.79	14.99929	0.29364
57731.02	14.99882	0.29403
60239.38	14.99977	0.29442
62750.61	15.00001	0.29478
65263.26	14.9993	0.29516
67771.63	15.00359	0.29553
70284.28	15.00358	0.29588
0.85854	19.99961	0.0088
102.4523	19.99472	0.06137
203.6168	20.00657	0.11532
304.9243	20.00616	0.14832
404.8011	20.00903	0.16966
505.5363	20.01434	0.18499
754.9419	20.00412	0.21046
1006.923	20.00043	0.2261
1258.618	20.00126	0.23658
1510.027	20.00044	0.24411
1759.576	20.00085	0.24986
2010.555	20.00452	0.25443
2263.108	19.99799	0.2581
2514.088	19.99881	0.26117
2765.783	20.00126	0.26372
3015.332	20.00126	0.26588
3267.456	19.9943	0.26772
3519.293	20.00043	0.26932
3769.988	19.99676	0.27067
4021.397	19.99757	0.27182
4271.375	20.00002	0.27282
4522.21	20.00044	0.27368
4773.905	19.99839	0.27442
5025.313	19.99799	0.27509
7534.251	20.00452	0.27909
10041.47	19.99962	0.28124
12550.98	19.99921	0.28269
15060.2	19.99063	0.28381
17570	19.99553	0.28476
20079.08	20.00453	0.28557
22587.44	20.00698	0.28633
25097.23	20.00821	0.28701
27604.89	20.01107	0.28764
30113.96	20.00657	0.28824
32623.76	20.00084	0.28879
35134.28	19.99921	0.2893
